epoch,loss_g,loss_c,gp,fid,is_mean,is_std,run
1,19.189325625130564,-6.940372813091462,0.10364597552955913,79.07502746582031,2.419062614440918,0.06497860699892044,1
2,14.66441666431081,-5.686057908049007,0.07986101006995588,,,,1
3,6.806293759554657,-5.312129760628195,0.0757130288708808,,,,1
4,1.4231345823815882,-4.967222116036756,0.07207329759002527,,,,1
5,-2.1578559832550037,-4.639173540768781,0.06522120767955847,36.792945861816406,2.2557218074798584,0.032584402710199356,1
6,-4.931335293623274,-4.467128463590412,0.06212038468776257,,,,1
7,-7.893808597943317,-4.25831428841313,0.05920788937962933,,,,1
8,-10.467850743642867,-4.092253683470865,0.05680673987492362,,,,1
9,-12.976192570038005,-3.9505168310224437,0.05354381745468463,,,,1
10,-15.491387655284642,-3.822685950084837,0.05242155486938475,24.236553192138672,2.1703076362609863,0.020166510716080666,1
11,-17.568836049310935,-3.756022088937342,0.05220226629506976,,,,1
12,-19.22461718759771,-3.6367587860009714,0.05055754596969807,,,,1
13,-20.967326037021177,-3.5333180788868646,0.047295639067768985,,,,1
14,-22.66834510428674,-3.4446186179666918,0.04695482266492339,,,,1
15,-24.56324030775398,-3.3381449802199192,0.04503246435543707,20.961421966552734,2.129122495651245,0.0388454869389534,1
16,-26.24207462241581,-3.268993288119549,0.04351674738512031,,,,1
17,-27.696397630738346,-3.209009062645911,0.042916784088824066,,,,1
18,-29.70994377746908,-3.1176791114766416,0.04131624535652496,,,,1
19,-30.865502751369743,-3.0868839846095,0.04104884802945268,,,,1
20,-32.18725157445625,-3.023315077530282,0.040007865563305364,17.19803810119629,2.0840485095977783,0.017436055466532707,1
21,-33.49869691040625,-2.9891132326238057,0.04053366971932741,,,,1
22,-34.75448855519168,-2.930440815179554,0.04013854818142307,,,,1
23,-35.99755200657799,-2.861268653177528,0.03792033339438119,,,,1
24,-37.21834135106432,-2.8274234458247522,0.03751873473359497,,,,1
25,-38.36356107453272,-2.7806252283118704,0.03668775474414102,16.438268661499023,2.105567693710327,0.04949827864766121,1
26,-39.28250702213707,-2.7581159251731133,0.03653723952184524,,,,1
27,-39.93566978397593,-2.7158307062269147,0.03528904440298899,,,,1
28,-41.475564563796006,-2.691334283720849,0.03573316636146419,,,,1
29,-42.70240908269567,-2.6434436012357634,0.03455548896578517,,,,1
30,-43.59863146901004,-2.611619601254784,0.03453646997027616,15.433905601501465,2.123589038848877,0.047941505908966064,1
31,-44.18050989906205,-2.5741964847072083,0.0337472488346292,,,,1
32,-44.78110072605129,-2.5132452640105973,0.03253899270414177,,,,1
33,-45.75501819150552,-2.5117678362379205,0.03305146339664528,,,,1
34,-46.45939930984025,-2.4878811586882796,0.03332605965837057,,,,1
35,-47.55844182978318,-2.4704926815460433,0.032859801924056915,14.41012191772461,2.108502149581909,0.032998524606227875,1
36,-48.18232964807793,-2.429021271468481,0.030993151062008156,,,,1
37,-48.61039310076703,-2.405387996482238,0.03201011904011398,,,,1
38,-49.29033942207328,-2.3789859270973164,0.03188341099613822,,,,1
39,-50.28829983331605,-2.3563465700587187,0.03056895544726636,,,,1
40,-51.029170139113255,-2.3444889561216504,0.030252724175272847,13.673892974853516,2.1511390209198,0.03773767873644829,1
41,-51.38395938852935,-2.3175185619830576,0.030379013795497067,,,,1
42,-51.95024762311384,-2.2800055456008828,0.029876825382799833,,,,1
43,-52.953553679149714,-2.2776553175365404,0.030470902937103615,,,,1
44,-53.53053025578485,-2.2306010837616,0.02955490189307273,,,,1
45,-54.16696927488932,-2.2208315544983366,0.02988745978205458,13.297367095947266,2.083256244659424,0.04708978161215782,1
46,-54.96375051150327,-2.2022635786612237,0.028131906938090076,,,,1
47,-55.657035086681645,-2.1918226423233014,0.027587673112475727,,,,1
48,-55.55010356109196,-2.1788774040490866,0.028923389590330414,,,,1
49,-55.916683791414016,-2.161079280531648,0.027876471566372296,,,,1
50,-56.53270406326082,-2.1362989338128773,0.028497113148992923,11.635141372680664,2.100013494491577,0.04007762670516968,1
51,-56.98485612818373,-2.123330689290799,0.027189354368027302,,,,1
52,-57.23250563549257,-2.1165921344573877,0.028367507931445362,,,,1
53,-57.403645465569916,-2.111599115068401,0.02747213332481452,,,,1
54,-57.84919224579281,-2.0926800445914906,0.026731986989810858,,,,1
55,-57.7924692689291,-2.0726551230969017,0.027166737726091416,11.452533721923828,2.067540407180786,0.030311869457364082,1
56,-58.201111800642636,-2.0662663601251396,0.026036932725526925,,,,1
57,-58.75889661497851,-2.0537726321876875,0.026093502661159607,,,,1
58,-58.60848227127384,-2.031975309520546,0.02624968927812821,,,,1
59,-58.35201475129183,-2.0283838270059134,0.026303532601929525,,,,1
60,-58.13730969016809,-2.0006841743005124,0.025591925634399233,10.257134437561035,2.082164764404297,0.03729940950870514,1
61,-58.27794154603809,-1.992214919408841,0.02546043333566669,,,,1
62,-58.653787407320365,-2.003429437268887,0.025655973506365826,,,,1
63,-58.96801153242016,-1.9715815923766113,0.025682879997001862,,,,1
64,-59.23361306205758,-1.9813862070838821,0.025039356801233464,,,,1
65,-59.79851293818292,-1.9631931504419544,0.024597644186683056,10.020174026489258,2.1060211658477783,0.03372574225068092,1
66,-60.239325874515885,-1.9551174404018081,0.02504744441591386,,,,1
67,-60.44257773253808,-1.9379270384634826,0.02486508042604256,,,,1
68,-60.59030867488051,-1.9126123328600775,0.024659921712835448,,,,1
69,-60.639494538688865,-1.9170174980367134,0.024955772244139886,,,,1
70,-60.52860462754615,-1.8976969927581169,0.024175513096416138,10.481820106506348,2.0950400829315186,0.0289592407643795,1
71,-60.42620254402608,-1.894564694757777,0.023823242578874148,,,,1
72,-60.33445880608981,-1.8830638873284502,0.024343740679085128,,,,1
73,-60.530894508483954,-1.8735216032860755,0.024154552507036332,,,,1
74,-60.82615200356206,-1.8547431147849165,0.023758490853659657,,,,1
75,-61.33212329127618,-1.8555586905464163,0.023312502740927065,11.84066104888916,2.1057541370391846,0.0371338315308094,1
76,-61.555364460166516,-1.8374758041528398,0.02369349005034744,,,,1
77,-61.691127264130714,-1.8573781016542157,0.024040714008664053,,,,1
78,-62.06773790096906,-1.8352777080067704,0.023412768747915962,,,,1
79,-61.861716014980125,-1.8298137465307018,0.023366603068013456,,,,1
80,-61.58999880095556,-1.8081289594684873,0.023082065404459375,10.773270606994629,2.0679264068603516,0.03432031348347664,1
1,12.544723094972754,-7.4301946236967655,0.11339635640808174,85.27061462402344,2.4104232788085938,0.04016449674963951,2
2,4.198091345752729,-5.875388807013806,0.08419384562441226,,,,2
3,-3.894489109361089,-5.396209365657453,0.07719541523752688,,,,2
