epoch,loss_g,loss_d,fid,is_mean,is_std,run
1,1.499242440630228,0.4416491426845901,329.83294677734375,1.0828768014907837,0.00206850771792233,1
2,2.79812659520624,0.25977042731311584,,,,1
3,3.3673200467203417,0.20879164076227152,,,,1
4,3.078750652125758,0.26442837232771593,,,,1
5,3.1233763196784206,0.26828615037867654,302.03326416015625,1.390584945678711,0.00890203658491373,1
6,2.9634972990323334,0.2868574514475643,,,,1
7,2.7793012956778207,0.29844912628714854,,,,1
8,3.0700123349570823,0.3001474956066435,,,,1
9,2.5949295424243326,0.3220827786777264,,,,1
10,2.455800175348408,0.352388287615827,250.41671752929688,1.6811846494674683,0.01876763440668583,1
11,2.298338176602991,0.35383879164090526,,,,1
12,2.0789067610206766,0.37836171804457647,,,,1
13,1.8908251306822157,0.40971930293191194,,,,1
14,1.684719720839435,0.4463141864945746,,,,1
15,1.6059138235500736,0.4656219285650131,202.07528686523438,2.1248767375946045,0.04581934213638306,1
16,1.557995797222496,0.47441087268356585,,,,1
17,1.5520270015312057,0.4600036352490767,,,,1
18,1.5058875982450624,0.4807932304902973,,,,1
19,1.4251107591658065,0.4941410696786693,,,,1
20,1.3703571377783759,0.5166575837975893,190.24575805664062,2.2035751342773438,0.03364645689725876,1
21,1.3140676225989292,0.5217809597523804,,,,1
22,1.264596354853139,0.5344769562411512,,,,1
23,1.2599248146781554,0.5372957351625475,,,,1
24,1.2313953667369664,0.5446726807799095,,,,1
25,1.206651451623338,0.5538844513332742,155.94287109375,2.528369188308716,0.049819398671388626,1
26,1.2108936632672946,0.547169154143741,,,,1
27,1.2043057031865814,0.5530145687297878,,,,1
28,1.2114466442766352,0.5506641957749668,,,,1
29,1.207662947794311,0.5470744145986361,,,,1
30,1.212799438362957,0.5485373947482842,144.1731719970703,2.636826515197754,0.03899256885051727,1
31,1.2162344964842002,0.5469912094438177,,,,1
32,1.2201176225247545,0.5447772888418956,,,,1
33,1.230597806855654,0.5426389958359238,,,,1
34,1.2454505609905617,0.5376076484337832,,,,1
35,1.2527672652887483,0.5366637919448379,127.97850799560547,2.7134902477264404,0.05913573503494263,1
36,1.2766515420288103,0.5285627126821086,,,,1
37,1.2837911085185842,0.5269315117317387,,,,1
38,1.2952080668292494,0.5240122862478607,,,,1
39,1.3233045569469786,0.518233451132591,,,,1
40,1.3336455873571909,0.514983779981605,116.57109069824219,2.7781476974487305,0.03294241800904274,1
41,1.3495130168321805,0.509457618316524,,,,1
42,1.364704037196616,0.5064465167940172,,,,1
43,1.381002760054464,0.5040681919990442,,,,1
44,1.4020104834284537,0.49716775310345185,,,,1
45,1.4099007591796227,0.4947941371390962,107.87337493896484,2.7055623531341553,0.029040329158306122,1
46,1.4291292337589285,0.4923503048654295,,,,1
47,1.4513563309342434,0.48560046882201463,,,,1
48,1.461752489909657,0.4869202898863034,,,,1
49,1.4841569249764976,0.475471117048182,,,,1
50,1.5047968543874912,0.47827670863296234,107.64849853515625,2.7322309017181396,0.05131400749087334,1
51,1.5387599978309412,0.46769717584053677,,,,1
52,1.5430903695364537,0.4662330359475225,,,,1
53,1.5591827090033608,0.4618032685457132,,,,1
54,1.582365424873737,0.4571259933659154,,,,1
55,1.6051831129524443,0.45067440126186764,103.22905731201172,2.731206178665161,0.06388352066278458,1
56,1.6215233937478983,0.4485482177418521,,,,1
57,1.6355884516786816,0.445794746088676,,,,1
58,1.6571952038341098,0.4417761643854981,,,,1
59,1.6740515725289145,0.4369285595722688,,,,1
60,1.6794459974218128,0.4416980824282027,93.51490020751953,2.7683684825897217,0.042638760060071945,1
61,1.7109929465203204,0.4288949447437229,,,,1
62,1.7113230261219363,0.431709562929777,,,,1
63,1.7630430831231623,0.42163417220879823,,,,1
64,1.7621649586969717,0.4209087622216624,,,,1
65,1.780774976612411,0.4249361724807666,93.49848175048828,2.685927629470825,0.04615164175629616,1
66,1.7914202578811564,0.41105778814635724,,,,1
67,1.8011440990699663,0.41665033499399823,,,,1
68,1.8246224078103008,0.4119249838921759,,,,1
69,1.8568352200090885,0.4033632028179291,,,,1
70,1.8725295833224416,0.40155032659188294,91.1763916015625,2.678051710128784,0.04917779564857483,1
71,1.8825549252458618,0.4036157293579517,,,,1
72,1.8973772699634235,0.3986610695082917,,,,1
73,1.9137287602210655,0.3964790507004811,,,,1
74,1.9290153512205832,0.3921442825315345,,,,1
75,1.9435781548038507,0.38745347168455774,85.86210632324219,2.602796792984009,0.047399044036865234,1
76,1.95021136264261,0.39433206859816855,,,,1
77,1.986988340305467,0.38060676217333883,,,,1
78,1.9679075198359468,0.39240406587337834,,,,1
79,1.9880362405545182,0.3844950183843955,,,,1
80,2.03298305035529,0.37515542541558927,86.44078826904297,2.6648595333099365,0.046377673745155334,1
